"1";"Poster: 3D sketching and flexible input for surface design: A case study.";"2013";"Anamary Leal|Doug A. Bowman";"0";"2016-07-28 09:36:29";"Poster: 3D sketching and flexible input for surface design: A case study. A Leal, DA Bowman -  Interfaces (3DUI), 2013 IEEE Symposium , 2013 - ieeexplore.ieee.org. ABSTRACT Designing three-dimensional (3D) surfaces is difficult in both the physical world  and in 3D modeling software, requiring background knowledge and skill. The goal of this  work is to make 3D surface design easier and more accessible through natural and  .."
"2";"Poster: Portable integral photography input/ output system using tablet PC and fly's eye lenses.";"2013";"Yusuke Kawano|Kazuhisa Yanaka";"0";"2016-07-28 09:36:49";"Poster: Portable integral photography input/output system using tablet PC and fly's eye lenses. Y Kawano, K Yanaka - 3D User Interfaces (3DUI), 2013 IEEE  , 2013 - ieeexplore.ieee.org. ABSTRACT We present a new system that can input and output integral photography  images. The system consists of a commerciallyavailable tablet PC to which fly's eye lenses,  one of which is for input and the other for output IP images, are attached. Light rays  .."
"3";"Poster: Real-time markerless kinect based finger tracking and hand gesture recognition for HCI.";"2013";"Arun Kulshreshth|Christopher Zorn|Joseph J. LaViola Jr.";"22";"2016-10-03 21:16:22";"Poster: Real-time markerless kinect based finger tracking and hand gesture recognition for HCI. A Kulshreshth, C Zorn, JJ LaViola - 3D User Interfaces (3DUI),  , 2013 - ieeexplore.ieee.org. ABSTRACT Hand gestures are intuitive ways to interact with a variety of user interfaces. We  developed a real-time finger tracking technique using the Microsoft Kinect as an input device  and compared its results with an existing technique that uses the K-curvature algorithm.  .."
"4";"Poster: Real time hand pose recognition with depth sensors for mixed reality interfaces.";"2013";"Byungkyu Kang|Mathieu Rodrigue|Tobias H&ouml;llerer|Hwasup Lim";"1";"2016-10-03 21:38:17";"Poster: Real time hand pose recognition with depth sensors for mixed reality interfaces. B Kang, M Rodrigue, T H̦llerer - 3D User Interfaces (3DUI) , 2013 - ieeexplore.ieee.org. ABSTRACT We present a method for predicting articulated hand poses in realtime with a  single depth camera, such as the Kinect or Xtion Pro, for the purpose of interaction in a  Mixed Reality environment and for studying the effects of realistic and non-realistic  .."
"5";"Design and implementation of an immersive virtual reality system based on a smartphone platform.";"2013";"Anthony Steed|Simon Julier";"12";"2016-10-03 21:10:56";"Design and implementation of an immersive virtual reality system based on a smartphone platform. A Steed, S Julier - 3D User Interfaces (3DUI), 2013 IEEE  , 2013 - ieeexplore.ieee.org. ABSTRACT With the increasing power of mobile CPUs and GPUs, it is becoming tractable to  integrate all the components of an interactive, immersive virtual reality system onto a small  mobile device. We present a demonstration of a head-mounted display system integrated  .."
"6";"Poster: Lifted road map view on windshield display.";"2013";"Takaya Kawamata|Itaru Kitahara|Yoshinari Kameda|Yuichi Ohta";"1";"2016-10-03 21:34:50";"Poster: Lifted road map view on windshield display. T Kawamata, I Kitahara, Y Kameda - 3D User Interfaces ( , 2013 - ieeexplore.ieee.org. ABSTRACT A new road map visualization method at window shield display for vehicle driver  is proposed. Road structure ahead of a vehicle is shown by CG line segments at the upper  area of driver view in augmented reality fashion. Road line segments are virtually placed  .."
"7";"Poster: Comparing usability of a single versus dual interaction metaphor in a multitask healthcare simulation.";"2013";"Lauren Cairco Dukes|Jeffrey W. Bertrand|Manan Gupta|Rowan Armstrong|Tracy Fasolino|Sabarish V. Babu|Larry F. Hodges";"1";"2016-10-03 21:42:27";"Poster: Comparing usability of a single versus dual interaction metaphor in a multitask healthcare simulation. LC Dukes, J Bertrand, M Gupta - 3D User Interfaces ( , 2013 - ieeexplore.ieee.org. ABSTRACT We present the results of a user study performed within a multitask healthcare  simulation, where nurses are required to care for virtual patients within a 3D virtual  environment while recording data in a 2D graphical user interface (GUI) based electronic  .."
"8";"Poster: Creating a user-specific perspective view for mobile mixed reality systems on smartphones.";"2013";"Yuki Matsuda|Fumihisa Shibata|Asako Kimura|Hideyuki Tamura";"1";"2016-10-03 21:33:00";"Poster: Creating a user-specific perspective view for mobile mixed reality systems on smartphones. Y Matsuda, F Shibata, A Kimura - 3D User Interfaces ( , 2013 - ieeexplore.ieee.org. ABSTRACT We propose a method for creating a user-specific perspective view for mobile  mixed reality (MR) systems that provides threedimensional perception based on pseudo  motion parallax. In general, most common mainstream interface for a hand-held AR/MR  .."
"9";"Poster: Markerless fingertip-based 3D interaction for handheld augmented reality in a small workspace.";"2013";"Huidong Bai|Lei Gao|Mark Billinghurst";"5";"2016-10-03 20:58:04";"Poster: Markerless fingertip-based 3D interaction for handheld augmented reality in a small workspace. H Bai, L Gao, M Billinghurst - 3D User Interfaces (3DUI), 2013  , 2013 - ieeexplore.ieee.org. ABSTRACT Compared with traditional screen-touch input, natural gesturebased interaction  approaches could offer a more intuitive user experience in handheld Augmented Reality  (AR) applications. However, most gesture interaction techniques for handheld AR only  .."
"10";"Poster: A wearable augmented reality system with haptic feedback and its performance in virtual assembly tasks.";"2013";"Kazuya Murakami|Ryo Kiyama|Takuji Narumi|Tomohiro Tanikawa|Michitaka Hirose";"10";"2016-10-03 21:05:42";"Poster: A wearable augmented reality system with haptic feedback and its performance in virtual assembly tasks. K Murakami, R Kiyama, T Narumi - 3D User Interfaces ( , 2013 - ieeexplore.ieee.org. ABSTRACT Haptic feedback is important to improve the operability of virtual objects.  However, AR systems with haptic feedback are still not many. Moreover, users cannot  perform tasks that need large workspaces in those systems because of physical  .."
